train_loss, train_accuracy, test_loss, test_accuracy
    2.7698,         13.178,    2.3000,        22.260
    1.8694,         27.910,    1.8336,        36.690
    1.6142,         40.018,    1.8469,        44.830
    1.3736,         49.782,    1.5011,        55.260
    1.1454,         58.806,    1.1083,        60.740
    0.9843,         64.990,    0.9489,        67.230
    0.8726,         69.416,    0.8326,        71.070
    0.7815,         72.780,    0.8411,        70.920
    0.7113,         75.358,    0.8704,        71.640
    0.6700,         76.834,    0.8356,        71.460
    0.6362,         78.022,    0.7128,        75.710
    0.6051,         79.170,    0.7361,        75.230
    0.5907,         79.706,    0.6755,        77.570
    0.5738,         80.240,    0.6422,        77.970
    0.5542,         81.028,    0.6754,        77.250
    0.5465,         81.406,    0.5342,        82.230
    0.5313,         81.700,    0.7335,        75.790
    0.5166,         82.170,    0.7389,        75.910
    0.5005,         82.842,    0.8434,        73.770
    0.4936,         83.014,    0.8444,        73.590
    0.4914,         83.248,    0.5932,        79.500
    0.4802,         83.528,    0.5842,        80.410
    0.4747,         83.758,    0.5767,        80.730
    0.4671,         84.076,    0.6147,        79.380
    0.4605,         84.322,    0.6715,        78.200
    0.4459,         84.596,    0.8593,        73.990
    0.4555,         84.222,    0.7853,        75.480
    0.4419,         84.912,    0.6096,        79.790
    0.4335,         85.416,    1.1441,        70.710
    0.4294,         85.330,    0.5402,        81.970
    0.4271,         85.536,    0.6851,        78.240
    0.4222,         85.484,    0.5925,        80.800
    0.4185,         85.708,    0.5108,        82.670
    0.4136,         85.682,    0.6589,        79.030
    0.4073,         86.228,    0.5864,        80.260
    0.4011,         86.306,    0.7223,        76.900
    0.4047,         86.086,    0.4952,        83.670
    0.3947,         86.490,    0.6207,        79.900
    0.4008,         86.212,    0.5751,        81.400
    0.3958,         86.454,    0.7672,        75.900
    0.3820,         87.074,    0.4794,        83.730
    0.3862,         86.838,    0.5134,        83.160
    0.3855,         86.746,    0.4489,        85.070
    0.3888,         86.804,    0.4949,        83.040
    0.3733,         87.172,    0.5207,        82.990
    0.3735,         87.200,    0.5252,        83.000
    0.3692,         87.428,    0.5513,        82.240
    0.3667,         87.442,    0.5424,        82.130
    0.3716,         87.294,    0.5921,        81.760
    0.3592,         87.724,    0.5349,        82.370
    0.3612,         87.748,    0.5143,        83.670
    0.3572,         87.772,    0.4443,        85.140
    0.3581,         87.858,    0.4530,        85.330
    0.3486,         88.210,    0.5467,        82.780
    0.3470,         88.124,    0.4682,        84.120
    0.3454,         88.260,    1.0059,        72.800
