# 大体同じものが出力されるはずだが，表示される順番が異なることがあるので注意．
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1           [-1, 64, 32, 32]           1,728
            Conv2d-2           [-1, 64, 32, 32]           1,728
       BatchNorm2d-3           [-1, 64, 32, 32]             128
       BatchNorm2d-4           [-1, 64, 32, 32]             128
            Conv2d-5           [-1, 64, 32, 32]           4,096
            Conv2d-6           [-1, 64, 32, 32]           4,096
       BatchNorm2d-7           [-1, 64, 32, 32]             128
       BatchNorm2d-8           [-1, 64, 32, 32]             128
            Conv2d-9           [-1, 64, 32, 32]          36,864
           Conv2d-10           [-1, 64, 32, 32]          36,864
      BatchNorm2d-11           [-1, 64, 32, 32]             128
      BatchNorm2d-12           [-1, 64, 32, 32]             128
           Conv2d-13          [-1, 256, 32, 32]          16,384
      BatchNorm2d-14          [-1, 256, 32, 32]             512
           Conv2d-15          [-1, 256, 32, 32]          16,384
           Conv2d-16          [-1, 256, 32, 32]          16,384
      BatchNorm2d-17          [-1, 256, 32, 32]             512
       Bottleneck-18          [-1, 256, 32, 32]               0
      BatchNorm2d-19          [-1, 256, 32, 32]             512
           Conv2d-20          [-1, 256, 32, 32]          16,384
      BatchNorm2d-21          [-1, 256, 32, 32]             512
       Bottleneck-22          [-1, 256, 32, 32]               0
           Conv2d-23           [-1, 64, 32, 32]          16,384
      BatchNorm2d-24           [-1, 64, 32, 32]             128
           Conv2d-25           [-1, 64, 32, 32]          36,864
           Conv2d-26           [-1, 64, 32, 32]          16,384
      BatchNorm2d-27           [-1, 64, 32, 32]             128
           Conv2d-28          [-1, 256, 32, 32]          16,384
      BatchNorm2d-29           [-1, 64, 32, 32]             128
      BatchNorm2d-30          [-1, 256, 32, 32]             512
           Conv2d-31           [-1, 64, 32, 32]          36,864
       Bottleneck-32          [-1, 256, 32, 32]               0
           Conv2d-33           [-1, 64, 32, 32]          16,384
      BatchNorm2d-34           [-1, 64, 32, 32]             128
      BatchNorm2d-35           [-1, 64, 32, 32]             128
           Conv2d-36          [-1, 256, 32, 32]          16,384
           Conv2d-37           [-1, 64, 32, 32]          36,864
      BatchNorm2d-38          [-1, 256, 32, 32]             512
      BatchNorm2d-39           [-1, 64, 32, 32]             128
       Bottleneck-40          [-1, 256, 32, 32]               0
